7.5781 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
18.7742 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1680, 1050]. Using actual size
21.4984 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

21.5019 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f902031dc40>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f8ff17dca90>, multiSample=False, name='window1', numSamples=2, pos=[420.0, 262.5], screen=0, size=array([3360, 2100]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
21.5022 	EXP 	window1: mouseVisible = True
21.5041 	EXP 	window1: mouseVisible = False
21.5042 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
21.5042 	EXP 	window1: recordFrameIntervals = False
21.6655 	EXP 	window1: recordFrameIntervals = True
22.0215 	WARNING 	t of last frame was 20.28ms (=1/49)
22.1357 	WARNING 	t of last frame was 23.83ms (=1/41)
22.2688 	WARNING 	t of last frame was 25.40ms (=1/39)
22.4188 	WARNING 	t of last frame was 23.88ms (=1/41)
22.5355 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
23.2889 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

27.7246 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Welcome to the SEAL Landmark Traversal Task', units='height', win=Window(...), wrapWidth=1)
27.7452 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0.  , 0.15]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
27.8025 	EXP 	window1: mouseVisible = True
27.8026 	EXP 	window1: mouseVisible = True
27.8231 	EXP 	Created Landmark = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Landmark', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
27.8269 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0.0, pos=array([0.  , 0.35]), rgb=UNKNOWN, text='Please find this object\n\n', units='height', win=Window(...), wrapWidth=1)
27.8344 	EXP 	window1: mouseVisible = True
27.8413 	EXP 	window1: mouseVisible = True
27.8421 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
27.8624 	EXP 	text: autoDraw = True
30.8748 	EXP 	text: autoDraw = False
30.8748 	EXP 	text_2: autoDraw = True
36.4719 	DATA 	Mouse: Left button down, pos=(875,372)
36.4908 	DATA 	Mouse:  Left button up, pos=(875,372)
36.5073 	EXP 	Imported LandmarkTrav_Stimuli.xlsx as conditions, 12 conditions, 1 params
36.5149 	EXP 	Created sequence: sequential, trialTypes=12, nReps=1, seed=None
36.5159 	EXP 	New trial (rep=0, index=0): {'image': 'TravImages/Landmark_1.JPG'}
37.0151 	EXP 	text_2: autoDraw = False
37.0151 	EXP 	Landmark: image = 'TravImages/Landmark_1.JPG'
37.0151 	EXP 	Landmark: autoDraw = True
37.0151 	EXP 	text_4: autoDraw = True
40.7652 	DATA 	Keypress: y
42.3409 	DATA 	Mouse: Left button down, pos=(720,121)
42.3588 	DATA 	Mouse:  Left button up, pos=(720,121)
43.8489 	DATA 	Mouse: Left button down, pos=(658,108)
43.8551 	EXP 	New trial (rep=0, index=1): {'image': 'TravImages/Landmark_2.JPG'}
44.1211 	DATA 	Mouse:  Left button up, pos=(658,108)
44.1217 	DATA 	Mouse: Left button down, pos=(658,108)
44.1425 	EXP 	Landmark: autoDraw = False
44.1425 	EXP 	text_4: autoDraw = False
44.1425 	EXP 	Landmark: image = 'TravImages/Landmark_2.JPG'
44.1425 	EXP 	Landmark: autoDraw = True
44.1425 	EXP 	text_4: autoDraw = True
44.2208 	DATA 	Mouse:  Left button up, pos=(658,108)
45.8454 	DATA 	Mouse: Left button down, pos=(658,108)
45.8474 	EXP 	New trial (rep=0, index=2): {'image': 'TravImages/Landmark_3.JPG'}
46.0890 	DATA 	Mouse:  Left button up, pos=(658,108)
46.0895 	DATA 	Mouse: Left button down, pos=(658,108)
46.0900 	DATA 	Mouse:  Left button up, pos=(658,108)
46.1121 	EXP 	Landmark: autoDraw = False
46.1121 	EXP 	text_4: autoDraw = False
46.1121 	EXP 	Landmark: image = 'TravImages/Landmark_3.JPG'
46.1121 	EXP 	Landmark: autoDraw = True
46.1121 	EXP 	text_4: autoDraw = True
46.7672 	DATA 	Mouse: Left button down, pos=(658,108)
46.7704 	EXP 	New trial (rep=0, index=3): {'image': 'TravImages/Landmark_4.JPG'}
47.0311 	DATA 	Mouse:  Left button up, pos=(658,108)
47.0317 	DATA 	Mouse: Left button down, pos=(658,108)
47.0322 	DATA 	Mouse:  Left button up, pos=(658,108)
47.0519 	EXP 	Landmark: autoDraw = False
47.0519 	EXP 	text_4: autoDraw = False
47.0519 	EXP 	Landmark: image = 'TravImages/Landmark_4.JPG'
47.0519 	EXP 	Landmark: autoDraw = True
47.0519 	EXP 	text_4: autoDraw = True
47.8258 	DATA 	Mouse: Left button down, pos=(658,108)
47.8263 	DATA 	Mouse:  Left button up, pos=(658,108)
47.9792 	DATA 	Mouse: Left button down, pos=(658,108)
47.9803 	DATA 	Mouse:  Left button up, pos=(658,108)
50.4891 	DATA 	Mouse: Left button down, pos=(658,108)
50.5121 	DATA 	Mouse:  Left button up, pos=(658,108)
50.6783 	DATA 	Mouse: Left button down, pos=(658,108)
50.6788 	DATA 	Mouse:  Left button up, pos=(658,108)
52.0742 	DATA 	Mouse: Left button down, pos=(658,108)
52.0768 	EXP 	New trial (rep=0, index=4): {'image': 'TravImages/Landmark_5.JPG'}
52.3116 	DATA 	Mouse:  Left button up, pos=(658,108)
52.3122 	DATA 	Mouse: Left button down, pos=(658,108)
52.3337 	EXP 	Landmark: autoDraw = False
52.3337 	EXP 	text_4: autoDraw = False
52.3337 	EXP 	Landmark: image = 'TravImages/Landmark_5.JPG'
52.3337 	EXP 	Landmark: autoDraw = True
52.3337 	EXP 	text_4: autoDraw = True
52.3830 	DATA 	Mouse:  Left button up, pos=(658,108)
53.2287 	DATA 	Mouse: Left button down, pos=(658,108)
53.2312 	EXP 	New trial (rep=0, index=5): {'image': 'TravImages/Landmark_6.JPG'}
53.4854 	DATA 	Mouse:  Left button up, pos=(658,108)
53.4860 	DATA 	Mouse: Left button down, pos=(658,108)
53.5090 	EXP 	Landmark: autoDraw = False
53.5090 	EXP 	text_4: autoDraw = False
53.5090 	EXP 	Landmark: image = 'TravImages/Landmark_6.JPG'
53.5090 	EXP 	Landmark: autoDraw = True
53.5090 	EXP 	text_4: autoDraw = True
53.5558 	DATA 	Mouse:  Left button up, pos=(658,108)
54.2170 	DATA 	Mouse: Left button down, pos=(658,108)
54.2198 	EXP 	New trial (rep=0, index=6): {'image': 'TravImages/Landmark_7.JPG'}
54.4829 	DATA 	Mouse:  Left button up, pos=(658,108)
54.5045 	EXP 	Landmark: autoDraw = False
54.5045 	EXP 	text_4: autoDraw = False
54.5045 	EXP 	Landmark: image = 'TravImages/Landmark_7.JPG'
54.5045 	EXP 	Landmark: autoDraw = True
54.5045 	EXP 	text_4: autoDraw = True
55.2245 	DATA 	Mouse: Left button down, pos=(658,108)
55.2268 	EXP 	New trial (rep=0, index=7): {'image': 'TravImages/Landmark_8.JPG'}
55.4850 	DATA 	Mouse:  Left button up, pos=(658,108)
55.5078 	EXP 	Landmark: autoDraw = False
55.5078 	EXP 	text_4: autoDraw = False
55.5078 	EXP 	Landmark: image = 'TravImages/Landmark_8.JPG'
55.5078 	EXP 	Landmark: autoDraw = True
55.5078 	EXP 	text_4: autoDraw = True
56.4324 	DATA 	Mouse: Left button down, pos=(658,108)
56.4358 	EXP 	New trial (rep=0, index=8): {'image': 'TravImages/Landmark_9.JPG'}
56.6789 	DATA 	Mouse:  Left button up, pos=(658,108)
56.6994 	EXP 	Landmark: autoDraw = False
56.6994 	EXP 	text_4: autoDraw = False
56.6994 	EXP 	Landmark: image = 'TravImages/Landmark_9.JPG'
56.6994 	EXP 	Landmark: autoDraw = True
56.6994 	EXP 	text_4: autoDraw = True
57.3856 	DATA 	Mouse: Left button down, pos=(658,108)
57.3880 	EXP 	New trial (rep=0, index=9): {'image': 'TravImages/Landmark_10.JPG'}
57.6300 	DATA 	Mouse:  Left button up, pos=(658,108)
57.6508 	EXP 	Landmark: autoDraw = False
57.6508 	EXP 	text_4: autoDraw = False
57.6508 	EXP 	Landmark: image = 'TravImages/Landmark_10.JPG'
57.6508 	EXP 	Landmark: autoDraw = True
57.6508 	EXP 	text_4: autoDraw = True
58.1404 	DATA 	Mouse: Left button down, pos=(658,108)
58.1588 	EXP 	New trial (rep=0, index=10): {'image': 'TravImages/Landmark_11.JPG'}
58.4027 	DATA 	Mouse:  Left button up, pos=(658,108)
58.4251 	EXP 	Landmark: autoDraw = False
58.4251 	EXP 	text_4: autoDraw = False
58.4251 	EXP 	Landmark: image = 'TravImages/Landmark_11.JPG'
58.4251 	EXP 	Landmark: autoDraw = True
58.4251 	EXP 	text_4: autoDraw = True
58.9686 	DATA 	Mouse: Left button down, pos=(658,108)
58.9707 	EXP 	New trial (rep=0, index=11): {'image': 'TravImages/Landmark_12.JPG'}
59.2229 	DATA 	Mouse:  Left button up, pos=(658,108)
59.2458 	EXP 	Landmark: autoDraw = False
59.2458 	EXP 	text_4: autoDraw = False
59.2458 	EXP 	Landmark: image = 'TravImages/Landmark_12.JPG'
59.2458 	EXP 	Landmark: autoDraw = True
59.2458 	EXP 	text_4: autoDraw = True
59.7622 	DATA 	Mouse: Left button down, pos=(658,108)
59.7848 	EXP 	Landmark: autoDraw = False
59.7848 	EXP 	text_4: autoDraw = False
59.7848 	EXP 	text_3: height = 0.05
59.7848 	EXP 	text_3: height = 0.05
59.7848 	EXP 	text_3: height = 0.05
59.7848 	EXP 	text_3: text = 'Thank you for participating in the SEAL Landmark Traversal Task'
59.7848 	EXP 	text_3: autoDraw = True
59.8483 	DATA 	Mouse:  Left button up, pos=(658,108)
62.7972 	EXP 	text_3: autoDraw = False
63.3714 	EXP 	window1: mouseVisible = True
